"PID","WEIGHT","cond","order_responses","val_1","val_2","val_3","val_4","val_5","top_value_num","top_value_char","response_cond1","response_cond2","response_cond3","order_dvs_first","order_dvs_second","order_dvs_third","order_dvs_fourth","order_dvs_fifth","antiest_1","antiest_2","antiest_3","antiest_4","ampride","trustgov","demsatis","radchange","vote_bin","vote_who","vote_whoelse","PartyID7","PartyID5","IDEO","RELIG","RELIG_OE","ATTEND","STARTDT","ENDDT","duration","SURV_MODE","SURV_LANG","Device","GENDER","AGE","AGE4","AGE7","RACETHNICITY","EDUC5","MARITAL","EMPLOY","INCOME","INCOME4","INCOME9","STATE","REGION4","REGION9","METRO","INTERNET","HOUSING","HOME_TYPE","PHONESERVICE","HHSIZE","HH01","HH25","HH612","HH1317","HH18OV","response","antiest_4R","distrust","antiest","discontent","exclude"
93,1.09116111,"ctrl",0,"Growth","freedom","choice","Liberty","health",2,"freedom",NA,NA,"The right to choice, growth a min. Control by government. In other words the freeedon to make the choice as long as it does not hurt others.","radchange","trustgov","demsatis","ampride","antiest",5,5,6,4,3,3,3,5,"vote","harris",NA,3,2,3,11,NA,2,"11/27/2024 10:02","11/27/2024 10:08",6,2,1,"Desktop","male",68,4,6,"white/non-hisp","some coll",4,1,"$40,000 to $49,999",2,5,"CO",4,8,1,1,2,"1",4,4,"0","0","0","0",1,"The right to choice, growth a min. Control by government. In other words the freeedon to make the choice as long as it does not hurt others.",4,5,5,5,0
95,1.50808908,"ctrl",1,"Lieing","Stealing","Dehumanize","Rape","Greed",5,"Greed",NA,NA,"Make and take as much by any means necessary! There are no rules to how much you can consume and pillage.","ampride","trustgov","demsatis","antiest","radchange",6,2,1,4,5,1,1,1,"vote","harris",NA,4,3,3,1,NA,4,"11/18/2024 20:34","11/18/2024 20:38",4,2,1,"Smartphone","male",43,2,3,"black/non-hisp","bachelors",1,1,"$150,000 to $174,999",4,9,"GA",3,5,1,1,1,"1",4,4,"#NULL!","#NULL!","1","#NULL!",2,"Make and take as much by any means necessary! There are no rules to how much you can consume and pillage.",4,7,3.25,3.75,0
105,0.88965894,"kept",1,"Freedom","Democracy","Integrity","Equal rights","Fairness",2,"Democracy","Equal rights and freedom for all and fair voting rights and the rights to the Constitution to whoever is American",NA,NA,"ampride","radchange","trustgov","demsatis","antiest",7,4,6,2,5,2,4,4,"vote","harris",NA,2,1,3,12,NA,1,"11/19/2024 9:24","11/19/2024 9:31",8,2,1,"Smartphone","male",45,3,4,"black/non-hisp","HS",5,1,"under $5,000",1,1,"OH",2,3,1,1,2,"3",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"Equal rights and freedom for all and fair voting rights and the rights to the Constitution to whoever is American",6,6,5.75,5.25,0
114,0.69408824,"kept",1,"Independence","Equality","Individualism","Democracy","Nationalism",4,"Democracy","Free and fair elections to choose the people’s representatives. Separation of powers between the three branches of government. In theory these are what ensures democracy however money and power have corrupted the process creating partisan politics and inequality.",NA,NA,"radchange","ampride","antiest","demsatis","trustgov",6,7,5,1,1,1,2,5,"vote","harris",NA,4,3,3,2,NA,1,"11/18/2024 17:03","11/18/2024 17:15",12,2,1,"Smartphone","male",54,3,4,"white/non-hisp","masters",1,1,"$200,000 or more",4,9,"CO",4,8,1,1,1,"1",3,6,"#NULL!","#NULL!","#NULL!","4",4,"Free and fair elections to choose the people’s representatives. Separation of powers between the three branches of government. In theory these are what ensures democracy however money and power have corrupted the process creating partisan politics and inequality.",7,7,6.25,6.08333333333333,0
115,0.39556426,"brkn",0,"Freedom","Liberty","Justice","Checks & Balances","Federalism (National & State division of government power)",2,"Liberty",NA,"The woke movement and far left made me feel like I had to be silent on my views about what was best for my family and community based on my faith and beliefs.",NA,"demsatis","antiest","trustgov","radchange","ampride",2,2,5,3,5,4,5,3,"vote","trump",NA,7,5,3,2,NA,8,"11/18/2024 19:11","11/18/2024 19:20",11,2,1,"Smartphone","female",52,3,4,"asian/non-hisp","masters",5,1,"$20,000 to $24,999",1,3,"DE",3,5,1,1,2,"3",3,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"The woke movement and far left made me feel like I had to be silent on my views about what was best for my family and community based on my faith and beliefs.",5,4,3.5,3.5,0
120,2.36182359,"ctrl",1,"Right to free speech","Right to protect your family and yourself","Fair elections","Right to carry gun","Right to protect your property",3,"Fair elections",NA,NA,"Any election where people, states or counties do not cheat during the election. For example, counting dead people, filling out ballots and hiding them until after hours to be counted, telling old people how to vote. Just a few examples of cheating.","trustgov","demsatis","radchange","ampride","antiest",4,6,6,3,5,2,6,5,"vote","trump",NA,6,5,4,12,NA,1,"11/21/2024 6:01","11/21/2024 6:21",20,2,1,"Smartphone","female",68,4,6,"white/non-hisp","HS",1,1,"$25,000 to $29,999",1,3,"CO",4,8,1,1,1,"1",1,2,"0","0","0","0",2,"Any election where people, states or counties do not cheat during the election. For example, counting dead people, filling out ballots and hiding them until after hours to be counted, telling old people how to vote. Just a few examples of cheating.",5,6,5.25,5.41666666666667,0
122,0.94437595,"ctrl",0,"Freedom of speech","Individualism, independence, and privacy","Equality","Self help","Practicality and efficiency",2,"Individualism, independence, and privacy",NA,NA,"Self reliance and personal achievement. The ability to make one's own decisions. The right to keep personal information and personal boundaries.","ampride","radchange","trustgov","demsatis","antiest",4,4,4,4,5,4,4,4,"no vote",NA,NA,4,3,3,2,NA,1,"11/20/2024 16:13","11/20/2024 16:20",8,2,1,"Smartphone","female",42,2,3,"white/non-hisp","some coll",1,1,"$40,000 to $49,999",2,5,"NY",1,2,0,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"Self reliance and personal achievement. The ability to make one's own decisions. The right to keep personal information and personal boundaries.",4,4,4,4,0
124,2.32621743,"brkn",1,"Freedom of choice","Freedom of speech","Freedom of religion","Pursuit of Happiness","Liberty for all",1,"Freedom of choice",NA,"We vilify those with different values. Instead of respecting other opinions, too many Americans opt for conflict.",NA,"radchange","ampride","trustgov","antiest","demsatis",3,2,3,5,4,3,2,5,"vote","harris",NA,1,1,3,12,NA,3,"11/29/2024 15:15","11/29/2024 15:20",5,2,1,"Desktop","male",55,3,5,"asian/non-hisp","bachelors",1,1,"$150,000 to $174,999",4,9,"HI",4,9,1,1,1,"3",4,2,"0","0","0","0",2,"We vilify those with different values. Instead of respecting other opinions, too many Americans opt for conflict.",3,5,2.75,4.25,0
125,1.0493677,"kept",0,"Freedom","Equality","Independence","Individualism","Progress",1,"Freedom","Freedom of speech, the right to privacy. The right to vote and take part in choosing a government is a civil and political right.",NA,NA,"demsatis","antiest","radchange","trustgov","ampride",5,6,6,2,3,2,4,6,"no vote",NA,NA,5,4,4,12,NA,2,"11/20/2024 8:00","11/20/2024 8:08",8,2,1,"Smartphone","female",31,2,2,"white/non-hisp","HS",5,1,"$60,000 to $74,999",3,6,"PA",1,2,1,1,1,"4",4,6,"#NULL!","1","3","#NULL!",3,"Freedom of speech, the right to privacy. The right to vote and take part in choosing a government is a civil and political right.",6,6,5.75,5.91666666666667,0
130,0.72345881,"kept",0,"Live","Liberty","Freedom","Options","98",3,"Freedom","We have the right to vote, freedom of speech, freedom to work, freedom own firearms, freedom to own land.",NA,NA,"trustgov","antiest","demsatis","ampride","radchange",5,4,5,3,5,2,5,6,"vote","trump",NA,7,5,5,1,NA,2,"11/21/2024 14:14","11/21/2024 14:21",8,2,1,"Smartphone","male",38,2,3,"white/non-hisp","some coll",1,1,"$10,000 to $14,999",1,2,"MO",2,4,0,0,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",1,"We have the right to vote, freedom of speech, freedom to work, freedom own firearms, freedom to own land.",5,6,4.75,5.58333333333333,0
131,2.12000472,"brkn",0,"INTEGRITY","FAIRNESS","EQUALITY","RIGHTS","HONESTY",4,"RIGHTS",NA,"US FALLS SHORT WITH FAIRNESS OF DIFFERENT RACES IN AREAS OF EMPLOYMENT, EDUCATION, HOUSING, SALARIES.",NA,"radchange","demsatis","antiest","ampride","trustgov",5,5,5,3,4,3,3,5,"vote","harris",NA,1,1,2,1,NA,7,"11/19/2024 18:33","11/19/2024 18:43",10,2,1,"Desktop","female",76,4,7,"white/non-hisp","some coll",1,5,"$50,000 to $59,999",2,6,"OK",3,7,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"US FALLS SHORT WITH FAIRNESS OF DIFFERENT RACES IN AREAS OF EMPLOYMENT, EDUCATION, HOUSING, SALARIES.",5,5,5,5,0
142,0.31768261,"brkn",0,"Liberty","Freedom of speech","Freedom of religion","Pursuit of happiness","From government persecution",1,"Liberty",NA,"The ability to control your own destiny and living s Richer and fullerlife while being protected from underneath searches and seizures",NA,"radchange","antiest","trustgov","demsatis","ampride",2,5,5,1,5,3,7,2,"vote","harris",NA,1,1,2,1,NA,2,"11/18/2024 17:43","11/18/2024 17:53",10,2,1,"Smartphone","male",77,4,7,"white/non-hisp","some coll",3,5,"$40,000 to $49,999",2,5,"WI",2,3,1,1,1,"3",4,1,"0","0","0","0",1,"The ability to control your own destiny and living s Richer and fullerlife while being protected from underneath searches and seizures",7,5,4.75,3.91666666666667,0
148,0.70408423,"ctrl",0,"democracy","diversity","progress","liberty","freedom",1,"democracy",NA,NA,"the governing  of the country at the will of the people, by the people and for the people of this great country.","demsatis","antiest","trustgov","ampride","radchange",5,5,NA,2,4,3,3,6,"vote","trump",NA,2,1,4,1,NA,7,"11/18/2024 21:02","11/18/2024 21:11",9,2,1,"Desktop","female",67,4,6,"white/non-hisp","some coll",1,6,"$50,000 to $59,999",2,6,"WV",3,5,1,1,1,"1",3,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"the governing  of the country at the will of the people, by the people and for the people of this great country.",6,5,5.33333333333333,5.44444444444444,0
151,0.46835703,"brkn",0,"Inclusion","Propserity","Opporitunity","Freedom","Fairness",3,"Opporitunity",NA,"The United States prosecutes people attempting to have a better life. People are taken advantage of by large corporations. An elite few hoard wealth.",NA,"antiest","radchange","ampride","demsatis","trustgov",6,5,5,2,3,3,5,6,"vote","harris",NA,5,4,3,1,NA,8,"11/20/2024 13:25","11/20/2024 13:30",6,2,1,"Desktop","male",33,2,2,"white/non-hisp","some coll",3,1,"$60,000 to $74,999",3,6,"MI",2,3,0,1,1,"3",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"The United States prosecutes people attempting to have a better life. People are taken advantage of by large corporations. An elite few hoard wealth.",6,5,5.5,5.5,0
153,1.24794694,"ctrl",0,"Freedom","Equity","Creative","Slow","War",1,"Freedom",NA,NA,"It means to be able to do what you want to do as long as it doesn’t restrict on other’s people freedom or impacts anyone else in a negative manner","antiest","ampride","radchange","trustgov","demsatis",7,5,3,4,3,3,2,6,"vote","harris",NA,1,1,1,2,NA,6,"11/18/2024 19:45","11/18/2024 19:47",3,2,1,"Smartphone","male",33,2,2,"white/non-hisp","masters",1,1,"$60,000 to $74,999",3,6,"IA",2,4,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"It means to be able to do what you want to do as long as it doesn’t restrict on other’s people freedom or impacts anyone else in a negative manner",4,5,4.75,5.25,0
154,0.85540702,"ctrl",1,"Equality","Liberty","Fraternity","Honesty","Opportunity",2,"Liberty",NA,NA,"Freedom to live as you choose regarding religion, health, opportunity, education. Freedom as a woman to vote, own a home, able to choose professions, health care.","demsatis","ampride","radchange","antiest","trustgov",7,2,3,4,5,3,2,2,"vote","harris",NA,1,1,2,1,NA,2,"11/18/2024 18:08","11/18/2024 18:17",9,2,1,"Desktop","female",70,4,6,"white/non-hisp","some coll",3,5,"$40,000 to $49,999",2,5,"AZ",4,8,1,1,1,"1",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"Freedom to live as you choose regarding religion, health, opportunity, education. Freedom as a woman to vote, own a home, able to choose professions, health care.",4,5,4,3.66666666666667,0
165,0.58236215,"brkn",1,"Liberty","Integrity","Justice","Opportunity","Freedom of speech",1,"Liberty",NA,"Too much regulation of business and personal lives is stifling people's liberty, while lack of other regulations is ensuring some people never get the chance to enjoy America's liberty.",NA,"antiest","trustgov","radchange","ampride","demsatis",3,5,5,3,4,3,5,5,"vote","trump",NA,7,5,5,1,NA,9,"11/20/2024 8:01","11/20/2024 8:07",7,2,1,"Smartphone","female",44,2,3,"white/non-hisp","masters",1,7,"$30,000 to $34,999",2,4,"MO",2,4,1,1,1,"1",4,6,"#NULL!","#NULL!","3","1",2,"Too much regulation of business and personal lives is stifling people's liberty, while lack of other regulations is ensuring some people never get the chance to enjoy America's liberty.",5,5,4.5,4.83333333333333,0
167,2.12722879,"ctrl",0,"freedom","equity","diversity","human right","justice",1,"freedom",NA,NA,"I would say that the best definition of freedom is to do anything as long as the law does NOT prohibit it.","demsatis","ampride","antiest","radchange","trustgov",7,7,7,1,1,2,1,7,"vote","trump",NA,5,4,3,14,"taoism",3,"11/19/2024 20:13","11/19/2024 20:21",8,2,1,"Desktop","male",45,3,4,"asian/non-hisp","bachelors",1,1,"$200,000 or more",4,9,"CA",4,9,1,1,1,"3",4,4,"#NULL!","#NULL!","1","1",2,"I would say that the best definition of freedom is to do anything as long as the law does NOT prohibit it.",7,6,7,6.66666666666667,0
169,0.9434874,"brkn",0,"individual freedom (Bill of Rightsl","strength against enemies","acceptance of individual differences","strong families & communities","democracy",1,"individual freedom (Bill of Rightsl",NA,"Attempts by many Christians to impose their beliefs and values on others. Attempts to stifle the press. Intimidation of some in authority against the powerless.",NA,"trustgov","radchange","antiest","demsatis","ampride",6,3,2,5,3,4,3,5,"vote","harris",NA,1,1,3,13,NA,4,"11/18/2024 20:37","11/18/2024 20:57",24,2,1,"Smartphone","female",78,4,7,"white/non-hisp","masters",2,5,"$85,000 to $99,999",3,7,"IL",2,3,1,1,1,"1",4,3,"0","0","0","0",3,"Attempts by many Christians to impose their beliefs and values on others. Attempts to stifle the press. Intimidation of some in authority against the powerless.",3,4,3.5,4.16666666666667,0
174,0.31269308,"kept",1,"rule of law","liberty","separation of powers","political equality","fair elections",3,"separation of powers","In today's world it will be difficult to live up its promise of separation of power.  We are living in a world turned upside down.",NA,NA,"antiest","ampride","radchange","demsatis","trustgov",7,7,7,5,3,2,4,7,"vote","harris",NA,1,1,3,11,NA,2,"11/21/2024 19:13","11/21/2024 19:28",16,2,1,"Desktop","female",78,4,7,"white/non-hisp","some coll",4,5,"$35,000 to $39,999",2,4,"NY",1,2,1,1,1,"3",4,1,"0","0","0","0",1,"In today's world it will be difficult to live up its promise of separation of power.  We are living in a world turned upside down.",3,6,6,6.33333333333333,0
175,0.37377975,"ctrl",0,"Freediom","future","equality","peace and safety","prosperity",1,"Freediom",NA,NA,"The right to succeed and live without fear of being mistreated and possibility that you can have a good life for you and your family","radchange","trustgov","antiest","ampride","demsatis",6,5,NA,3,3,4,3,NA,"vote","harris",NA,2,1,3,10,NA,1,"11/18/2024 19:34","11/18/2024 19:41",7,2,1,"Desktop","female",75,4,7,"white/non-hisp","some coll",1,5,"$25,000 to $29,999",1,3,"CA",4,9,0,1,1,"1",2,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"The right to succeed and live without fear of being mistreated and possibility that you can have a good life for you and your family",5,4,5.33333333333333,4.66666666666667,0
180,1.16445524,"brkn",0,"freedom from tyranny","freedom of religion","freedom of speech","equality under the law","right of personal privacy",1,"freedom from tyranny",NA,"The will of the people has been jeopardised by corrupt manipulation of our system allowing a minority to impose its will on the majority. The US is in danger of losing rights of the people enshrined in the Constitution by not acting to strengthen norms and values un",NA,"ampride","antiest","radchange","demsatis","trustgov",6,3,2,5,3,3,5,5,"no vote",NA,NA,1,1,3,11,NA,1,"11/19/2024 10:23","11/24/2024 12:30",36,2,1,"Smartphone","female",67,4,6,"white/non-hisp","masters",2,6,"$15,000 to $19,999",1,2,"LA",3,7,1,1,1,"1",3,4,"#NULL!","#NULL!","#NULL!","#NULL!",4,"The will of the people has been jeopardised by corrupt manipulation of our system allowing a minority to impose its will on the majority. The US is in danger of losing rights of the people enshrined in the Constitution by not acting to strengthen norms and values un",3,5,3.5,4.5,0
186,0.38297461,"kept",0,"Family","Religion","Security","Loyalty","Family",1,"Family","The U S. Seems to be in the business of breaking up family. All of the children that they took from there parents and deported the parents. What did they do with the children?",NA,NA,"radchange","demsatis","trustgov","antiest","ampride",7,7,7,4,4,2,4,7,"vote","harris",NA,3,2,3,12,NA,6,"11/21/2024 17:55","11/26/2024 22:49",11,2,1,"Smartphone","female",43,2,3,"black/non-hisp","bachelors",1,7,"$85,000 to $99,999",3,7,"FL",3,5,1,1,1,"1",4,4,"#NULL!","#NULL!","2","#NULL!",2,"The U S. Seems to be in the business of breaking up family. All of the children that they took from there parents and deported the parents. What did they do with the children?",4,6,6.25,6.41666666666667,0
191,0.8122023,"kept",1,"Independence","Respect","Individual beliefs","Peace","Justice",5,"Justice","Military forces. Law enforcement. Court system. Consequences for those that neglect the laws put in place; state and federal.",NA,NA,"demsatis","ampride","radchange","trustgov","antiest",3,4,4,4,3,4,4,4,"vote","trump",NA,6,5,4,1,NA,4,"11/19/2024 7:59","11/19/2024 8:10",11,2,1,"Smartphone","female",35,2,3,"white/non-hisp","some coll",3,1,"$60,000 to $74,999",3,6,"WI",2,3,1,1,1,"1",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"Military forces. Law enforcement. Court system. Consequences for those that neglect the laws put in place; state and federal.",4,4,3.75,3.91666666666667,0
192,0.38539672,"brkn",1,"Freedom of speech","Freedom of religonr","Right to assemble","Freedom of press","Freedom of petition",1,"Freedom of speech",NA,"People are being thrown out of town and school meetings for expressing their complaints.  And the fbi is calling them threats.",NA,"trustgov","antiest","demsatis","ampride","radchange",5,5,5,3,4,3,3,5,"vote","trump",NA,6,5,4,2,NA,2,"11/18/2024 18:08","11/18/2024 18:23",15,2,1,"Desktop","male",74,4,6,"white/non-hisp","some coll",2,5,"$85,000 to $99,999",3,7,"IN",2,3,1,1,1,"1",2,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"People are being thrown out of town and school meetings for expressing their complaints.  And the fbi is calling them threats.",5,5,5,5,0
194,0.7675269,"brkn",0,"individualism","free speech","free will","self government","importance of nuclear family",1,"individualism",NA,"people have the ability and freedom to express how they look where they live and who they associate with",NA,"ampride","antiest","radchange","trustgov","demsatis",6,3,5,4,4,2,4,5,"vote","harris",NA,1,1,2,12,NA,9,"11/20/2024 18:16","11/20/2024 18:20",5,2,1,"Smartphone","female",20,1,1,"white/non-hisp","some coll",5,1,"$85,000 to $99,999",3,7,"TN",3,6,1,1,1,"1",4,3,"#NULL!","#NULL!","#NULL!","#NULL!",3,"people have the ability and freedom to express how they look where they live and who they associate with",4,6,4.5,5.16666666666667,0
200,0.1112841,"brkn",1,"Freedom","Equality","Opportunity","Justice","Diversity",1,"Freedom",NA,"Systematic inequalities and restrictions on individual rights. Politicians trying to censor certain things.",NA,"demsatis","radchange","antiest","ampride","trustgov",1,2,2,5,5,5,6,1,"vote","trump",NA,7,5,4,2,NA,3,"11/19/2024 15:46","11/19/2024 15:53",7,2,1,"Desktop","male",44,2,3,"white/non-hisp","some coll",1,1,"$175,000 to $199,999",4,9,"IL",2,3,1,1,1,"1",3,4,"#NULL!","#NULL!","2","#NULL!",2,"Systematic inequalities and restrictions on individual rights. Politicians trying to censor certain things.",3,3,2,2,0
206,0.77396079,"kept",1,"Strong National Defence","Freedom of choice","Right to be safe in your own community","Opportunity to succeed or fail","Access to health care",4,"Opportunity to succeed or fail","US is one of the few countries left where it's people still have an opportunity succeed or fail. We are still the most desired country to immigrate to.",NA,NA,"radchange","trustgov","demsatis","ampride","antiest",2,5,6,5,4,4,4,2,"vote","trump",NA,5,4,5,12,NA,2,"11/18/2024 20:55","11/18/2024 21:18",26,2,1,"Smartphone","male",59,3,5,"white/non-hisp","bachelors",1,1,"$75,000 to $84,999",3,7,"MN",2,4,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"US is one of the few countries left where it's people still have an opportunity succeed or fail. We are still the most desired country to immigrate to.",3,4,4,3.33333333333333,0
